title,album,year
Attention,Voicenotes,2017.0
We Don’t Talk Anymore,Nine Track Mind,2016.0
How Long,Voicenotes,2017.0
Marvin Gaye,Nine Track Mind,2015.0
One Call Away,Nine Track Mind,2015.0
Done for Me,Voicenotes,2018.0
The Way I Am,Voicenotes,2018.0
If You Leave Me Now,Voicenotes,2018.0
Dangerously,Nine Track Mind,2016.0
Betty Boop,,2014.0
Cheating on You,,2019.0
Patient,Voicenotes,2018.0
See You Again (Original Version),,2016.0
I Warned Myself,,2019.0
BOY,Voicenotes,2018.0
Change,Voicenotes,2018.0
Mother,,2019.0
LA Girls,Voicenotes,2018.0
River,Nine Track Mind (Deluxe),2016.0
Suffer,Nine Track Mind,2015.0
Slow It Down,Voicenotes,2018.0
Somebody Told Me,Voicenotes,2018.0
Girlfriend,,2020.0
Empty Cups,Voicenotes,2018.0
Through It All,Voicenotes,2018.0
Kiss Me,Ego,
Some Type of Love,Nine Track Mind,2015.0
Does It  Feel,Nine Track Mind (Deluxe),2016.0
One Call Away (Remix),,2015.0
My Gospel,Nine Track Mind,2016.0
Look At Me Now,Ego,2013.0
I Don’t Wanna Know,Spotify Singles ,2017.0
Losing My Mind,Nine Track Mind,2016.0
As You Are,Nine Track Mind,2016.0
Up All Night,Nine Track Mind,2016.0
Then There’s You,Nine Track Mind,2016.0
I Won’t Tell a Soul,Some Type of Love - EP,2015.0
Left Right Left,Nine Track Mind,2016.0
Attention (Acoustic),,2017.0
Stress Me Out*,CP3*,
O2L Song,,2014.0
Free,The One and Only Ivan (Original Soundtrack),2020.0
Tears On My Shoulder,,
Attention (KYLE Remix),,2017.0
Suffer (Remix),,2016.0
Me & U*,CP3*,
Enemy,,
5 Dollar Footlong (Subway Ad - Tristan),Unreleased Songs,
L.U.V.,,2014.0
We Don’t Talk Anymore (Junge Junge Remix),We Don’t Talk Anymore (Remixes),2016.0
Back to Your Heart,,2013.0
How Long (Remix),,2017.0
In The Dark,Ego,
Reply 2 This*,CP3*,
We Don’t Talk Anymore (Live with Jungkook),,2018.0
Full of It,Ego,
Go Round,,2014.0
One call away (Coast to Coast Mix),,2015.0
Quarantine Song,Unreleased Songs,2020.0
Your Name (The Ukulele Song),Ego,
Next To You,The Otto Tunes,2010.0
Seventeen,Ego,2013.0
Break Again,,
1984,,2014.0
I Don’t Wanna Hurt You Baby,The Otto Tunes,2010.0
Make Something Up*,CP3*,
Beautiful Corruption,Ego,
Somebody Else (The 1975 Cover),,2016.0
The Way I Am (Acoustic),,2018.0
Marvin Gaye (Remix),,
How Long (Jerry Folk Remix),,2018.0
I’m So Hot,,
Tangerine Dreams,Ego,
Instagram Models,,2014.0
Sick,CP3*,
